Proteome ID	Organism	Organism ID	Protein count	BUSCO	CPD	Taxonomic lineage
UP000000399	Grapevine fleck virus (isolate Italy/MT48) (GFkV) (Strain: Isolate Italy/MT48)	652668	4		Outlier	Viruses, Riboviria, Tymovirales, Tymoviridae, Maculavirus
UP000233180	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	61621	42660	C:95.1%[S:49.6%,D:45.5%],F:2.9%,M:2%,n:6192	Standard	Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Mammalia, Eutheria, Euarchontoglires, Primates, Haplorrhini, Catarrhini, Cercopithecidae, Colobinae, Rhinopithecus
UP000000348	Rice ragged stunt virus (isolate Thailand) (RRSV) (Strain: Isolate Thailand)	649603	12		Standard	Viruses, Riboviria, Reoviridae, Spinareovirinae, Oryzavirus
UP000007022	Bovine parvovirus (isolate pAT153/1986) (BPV) (Strain: Isolate pAT153/1986)	648243	3		Standard	Viruses, Parvoviridae, Parvovirinae, Bocaparvovirus
UP000008255	Triticum mosaic virus (isolate Triticum aestivum/United States/U06-123/2006) (TriMV)	1289472	1		Standard	Viruses, Riboviria, Potyviridae, Poacevirus
UP000008589	Cowpea mosaic virus (strain SB) (CPMV) (Strain: SB)	928299	3		Outlier	Viruses, Riboviria, Picornavirales, Secoviridae, Comovirinae, Comovirus
UP000001863	Sputnik virophage	543939	21		Standard	Viruses, Lavidaviridae, Sputnikvirus
UP000184514	Planktotalea frisia (Strain: SH6-1)	696762	4128	C:99.5%[S:99.1%,D:0.5%],F:0.5%,M:0%,n:221	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Planktotalea
UP000000405	Equine rhinitis B virus 1 (strain Equine/Switzerland/P1436/71/1971) (ERBV-1) (Equine rhinovirus type 2) (Strain: Equine/Switzerland/P1436/71/1971)	650131	1		Standard	Viruses, Riboviria, Picornavirales, Picornaviridae, Erbovirus
UP000006541	Maize streak virus genotype A (isolate South Africa) (MSV) (Strain: Isolate South Africa)	10824	4		Close to Standard	Viruses, Geminiviridae, Mastrevirus
UP000001670	Poinsettia latent virus (isolate Euphorbia pulcherrima/Germany/Siepen/2005) (PnLV) (Poinsettia cryptic virus) (Strain: Isolate Euphorbia pulcherrima/Germany/Siepen/2005)	686943	4		Standard	Viruses, Riboviria, Solemoviridae, Polemovirus
UP000233160	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	379532	32113	C:92%[S:63.6%,D:28.4%],F:4.1%,M:3.9%,n:6192	Standard	Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Mammalia, Eutheria, Euarchontoglires, Primates, Strepsirrhini, Lemuriformes, Indriidae, Propithecus
UP000202816	Hubei sobemo-like virus 25 (Strain: QTM27214)	1923211	2		Standard	Viruses, Riboviria, unclassified Riboviria
UP000051008	Lactobacillus agilis DSM 20509 (Strain: DSM 20509)	1423718	1951	C:97.1%[S:96.6%,D:0.5%],F:2.3%,M:0.7%,n:443	Outlier	Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus
UP000289228	Streptomyces phage Shawty	2510521	56		Standard	Viruses, Caudovirales, Siphoviridae, Lomovskayavirus, unclassified Lomovskayavirus
UP000007267	Pelodiscus sinensis (Chinese softshell turtle) (Trionyx sinensis)	13735	20509	C:93.5%[S:78.3%,D:15.2%],F:4.9%,M:1.6%,n:3950	Standard	Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Archelosauria, Testudines, Cryptodira, Trionychia, Trionychidae, Pelodiscus
UP000000826	Norwalk virus (strain GI/Human/United States/Norwalk/1968) (Hu/NV/NV/1968/US) (Strain: GI/Human/United States/Norwalk/1968)	524364	3		Standard	Viruses, Riboviria, Caliciviridae, Norovirus
UP000001950	Theileria annulata (Strain: Ankara)	5874	3790	C:85.5%[S:85.5%,D:0%],F:1.3%,M:13.2%,n:234	Standard	Eukaryota, Sar, Alveolata, Apicomplexa, Aconoidasida, Piroplasmida, Theileriidae, Theileria
UP000001061	Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A) (HTLV-1) (Strain: Isolate Caribbea HS-35 subtype A)	11927	9		Close to Standard	Viruses, Ortervirales, Retroviridae, Orthoretrovirinae, Deltaretrovirus
UP000288876	Apple necrotic mosaic virus	1779339	4		Standard	Viruses, Riboviria, Bromoviridae, Ilarvirus, unclassified Ilarvirus
UP000240724	Escherichia phage LAMP	2065191	95		Standard	Viruses, Caudovirales, Podoviridae, Kuravirus, unclassified Kuravirus
UP000028926	Candidatus Paracaedibacter acanthamoebae	91604	1803	C:80.5%[S:80.5%,D:0%],F:2.7%,M:16.7%,n:221	Close to Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Holosporales, Candidatus Paracaedibacteraceae, Candidatus Paracaedibacter
UP000201600	Listeria phage LP-030-2	1173743	69		Standard	Viruses, Caudovirales, Siphoviridae, Psavirus
UP000296517	Streptococcus phage Javan144	2548005	54		Standard	Viruses, Caudovirales, Siphoviridae
UP000102095	Lymantria dispar cypovirus 14	165429	11		Standard	Viruses, Riboviria, Reoviridae, Spinareovirinae, Cypovirus
UP000001554	Branchiostoma floridae (Florida lancelet) (Amphioxus) (Strain: S238N-H82)	7739	28544	C:90.7%[S:85.9%,D:4.8%],F:3.1%,M:6.2%,n:978	Standard	Eukaryota, Metazoa, Chordata, Cephalochordata, Leptocardii, Amphioxiformes, Branchiostomidae, Branchiostoma
UP000006523	Synechococcus phage S-SM1	444859	234		Standard	Viruses, Caudovirales, Myoviridae
UP000019749	Campylobacter phage CJIE4-1	1470458	60		Standard	Viruses, Caudovirales, Siphoviridae
UP000201732	Rhizoctonia solani RNA virus HN008	1678208	2		Outlier	Viruses, unclassified viruses
UP000269553	Serratia phage vB_SmaA_3M	2419930	201		Standard	Viruses, Caudovirales, Ackermannviridae, unclassified Ackermannviridae
UP000201155	Mycobacterium phage Ovechkin	1673889	106		Standard	Viruses, Caudovirales, Siphoviridae, Cheoctovirus, unclassified Cheoctovirus
UP000184386	Anaerocolumna jejuensis DSM 15929 (Strain: DSM 15929)	1121322	5667	C:98.8%[S:96.5%,D:2.4%],F:0.4%,M:0.8%,n:254	Close to Standard	Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Anaerocolumna
UP000255233	Rikenella microfusus (Strain: NCTC11190)	28139	2358	C:91.4%[S:91.4%,D:0%],F:2.9%,M:5.6%,n:443	Close to Standard	Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Rikenella
UP000317164	Gordonia phage LordFarquaad	2588134	76		Standard	Viruses, Caudovirales, Siphoviridae, Attisvirus, unclassified Attisvirus
UP000296446	Streptococcus phage Javan179	2548026	54		Standard	Viruses, Caudovirales, Siphoviridae
UP000007062	Anopheles gambiae (African malaria mosquito) (Strain: PEST)	7165	13515	C:96.1%[S:87%,D:9%],F:2.2%,M:1.7%,n:2799	Standard	Eukaryota, Metazoa, Ecdysozoa, Arthropoda, Hexapoda, Insecta, Pterygota, Neoptera, Holometabola, Diptera, Nematocera, Culicoidea, Culicidae, Anophelinae, Anopheles
UP000296767	Streptococcus satellite phage Javan479	2558720	25		Standard	Viruses, unclassified viruses, unclassified bacterial viruses
UP000114294	Rotavirus B (isolate RVB/Human/China/ADRV/1982) (RV-B) (Rotavirus B (isolate adult diarrhea rotavirus))	10942	12		Standard	Viruses, Riboviria, Reoviridae, Sedoreovirinae, Rotavirus
UP000009098	Duck hepatitis B virus (isolate Shanghai/DHBVQCA34) (DHBV) (Strain: Isolate Shanghai/DHBVQCA34)	644639	4		Close to Standard	Viruses, Hepadnaviridae, Avihepadnavirus
UP000006711	Helicoverpa armigera stunt virus (HaSV)	37206	3		Standard	Viruses, Riboviria, Alphatetraviridae, Omegatetravirus
UP000204283	Beihai barnacle virus 13 (Strain: BHTH16173)	1922357	2		Standard	Viruses, Riboviria, unclassified Riboviria
UP000001947	Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024) (Strain: 2-40 / ATCC 43961 / DSM 17024)	203122	3999	C:98.9%[S:98.2%,D:0.7%],F:0%,M:1.1%,n:452	Standard	Bacteria, Proteobacteria, Gammaproteobacteria, Cellvibrionales, Cellvibrionaceae, Saccharophagus
UP000007394	Ignavibacterium album (strain DSM 19864 / JCM 16511 / NBRC 101810 / Mat9-16) (Strain: DSM 19864 / JCM 16511 / NBRC 101810 / Mat9-16)	945713	3169	C:96.6%[S:95.9%,D:0.7%],F:1.4%,M:2%,n:148	Standard	Bacteria, Ignavibacteriae, Ignavibacteria, Ignavibacteriales, Ignavibacteriaceae, Ignavibacterium
UP000251049	Pasteurella phage AFS-2018a	2201988	44		Close to Standard	Viruses, Caudovirales, Myoviridae, Bcepmuvirus, unclassified Bcepmuvirus
UP000001795	Salmonella phage P22 (Bacteriophage P22) (Strain: Wild type)	10754	72		Standard	Viruses, Caudovirales, Podoviridae, Lederbergvirus
UP000030970	Ralstonia sp. A12 (Strain: A12)	1217052	5224	C:99.5%[S:99.3%,D:0.2%],F:0.3%,M:0.2%,n:582	Standard	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Ralstonia
UP000269143	Proteus phage Stubb	2315597	148		Close to Standard	Viruses, Caudovirales, Siphoviridae, Novosibvirus, unclassified Novosibvirus
UP000006048	Turneriella parva (strain ATCC BAA-1111 / DSM 21527 / NCTC 11395 / H) (Leptospira parva) (Strain: ATCC BAA-1111 / DSM 21527 / NCTC 11395 / H)	869212	4092	C:90.7%[S:90.3%,D:0.4%],F:6.3%,M:3%,n:237	Standard	Bacteria, Spirochaetes, Leptospirales, Leptospiraceae, Turneriella
UP000201359	Shahe isopoda virus 2 (Strain: SHWC0209c12758)	1923422	1		Close to Standard	Viruses, Riboviria, unclassified Riboviria
UP000203637	Pseudomonas phage phiPsa374	1458843	173		Standard	Viruses, Caudovirales, Myoviridae, Otagovirus, Pseudomonas virus Psa374
UP000236610	bacterium HR16	2035411	3294	C:84.5%[S:84.5%,D:0%],F:3.4%,M:12.2%,n:148	Standard	Bacteria
UP000295315	Klebsiella phage ST11-OXA48phi15.1	2510453	58		Close to Standard	Viruses, Caudovirales, Myoviridae
UP000203458	Pseudomonas phage phiPSA1	1500757	52		Standard	Viruses, Caudovirales, Siphoviridae
UP000000356	Poliovirus type 1 (strain Mahoney) (Strain: Mahoney)	12081	2		Standard	Viruses, Riboviria, Picornavirales, Picornaviridae, Enterovirus, Enterovirus C
UP000118579	SARS coronavirus PUMC02	253434	4		Outlier	Viruses, Riboviria, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Betacoronavirus, Sarbecovirus
